generated_at_jst,rank,catalog_row_id,title,offer_type,price,amount_usd,sample_title,sample_fields,sample_deliverable,primary_url,ready_to_pay_url,order_board_url,payment_activation_url,proof_rule,money_confirmed_usd
2026-06-18 10:48:47 JST,1,central-static-demo-site-customization,Static Demo Site Customization,service,$200,200.0,Homepage wireframe snapshot,"Service section, contact path, mobile pass, launch checklist","Buyer receives a static page skeleton, copy placement notes, responsive QA notes, and handoff checklist.",https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,2,standalone-static-service-site-starter,Static Service Site Starter,service,$200,200.0,Homepage wireframe snapshot,"Service section, contact path, mobile pass, launch checklist","Buyer receives a static page skeleton, copy placement notes, responsive QA notes, and handoff checklist.",https://jaxassistant55.github.io/static-service-site-starter/,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,3,central-local-seo-gbp-audit,Local SEO / GBP Audit,service,$175,175.0,Public local audit snapshot,"Service area, category fit, citation consistency, review path",Buyer receives ranked public findings and owner-only action steps without account login.,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,4,central-ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,service,$150,150.0,Workflow map and tracker spec,"Trigger list, status fields, owner tasks, risk notes",Buyer receives a workflow blueprint or tracker outline ready for internal implementation.,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,5,central-niche-quote-estimator,Niche Quote Estimator,service,$150,150.0,Estimator rules table,"Inputs, formula assumptions, output bands, edge-case notes",Buyer receives a scoped estimator model with validation notes and implementation checklist.,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,6,standalone-niche-quote-estimator-starter,Niche Quote Estimator Starter,service,$150,150.0,Estimator rules table,"Inputs, formula assumptions, output bands, edge-case notes",Buyer receives a scoped estimator model with validation notes and implementation checklist.,https://jaxassistant55.github.io/niche-quote-estimator-starter/,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,7,central-technical-docs-cleanup,Technical Docs Cleanup,service,$150,150.0,Documentation cleanup diff plan,"Missing steps, unclear terms, quick-start order, acceptance checklist",Buyer receives a prioritized docs cleanup plan plus revised sample sections.,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-cleanup.html,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,8,standalone-technical-docs-cleanup-starter,Technical Docs Cleanup Starter,service,$150,150.0,Documentation cleanup diff plan,"Missing steps, unclear terms, quick-start order, acceptance checklist",Buyer receives a prioritized docs cleanup plan plus revised sample sections.,https://jaxassistant55.github.io/technical-docs-cleanup-starter/,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,9,central-website-audit-microservice,Website Audit Microservice,service,$150,150.0,Homepage wireframe snapshot,"Service section, contact path, mobile pass, launch checklist","Buyer receives a static page skeleton, copy placement notes, responsive QA notes, and handoff checklist.",https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-microservice.html,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,10,standalone-website-audit-microservice-starter,Website Audit Microservice Starter,service,$150,150.0,Homepage wireframe snapshot,"Service section, contact path, mobile pass, launch checklist","Buyer receives a static page skeleton, copy placement notes, responsive QA notes, and handoff checklist.",https://jaxassistant55.github.io/website-audit-microservice-starter/,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,11,standalone-workflow-tracker-dashboard-starter,Workflow Tracker Dashboard Starter,service,$150,150.0,Workflow map and tracker spec,"Trigger list, status fields, owner tasks, risk notes",Buyer receives a workflow blueprint or tracker outline ready for internal implementation.,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,12,standalone-career-packet-starter,Career Packet Starter,service,$125,125.0,Career packet outline,"Headline, proof bullets, interview story bank, follow-up copy",Buyer receives edited positioning drafts and a concise interview prep sheet.,https://jaxassistant55.github.io/career-packet-starter/,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,https://github.com/jaxassistant55/career-packet-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,13,standalone-client-intake-sop-starter,Client Intake SOP Starter,service,$125,125.0,Intake and SOP packet,"Client fields, handoff steps, status stages, reusable checklist",Buyer receives a practical intake form and SOP skeleton for repeatable work.,https://jaxassistant55.github.io/client-intake-sop-starter/,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,14,central-client-intake-and-sop-package,Client Intake and SOP Package,service,$125,125.0,Intake and SOP packet,"Client fields, handoff steps, status stages, reusable checklist",Buyer receives a practical intake form and SOP skeleton for repeatable work.,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-and-sop-package.html,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,15,central-data-cleanup-sprint,Data Cleanup Sprint,service,$125,125.0,Data cleanup report,"Column map, anomaly flags, normalized sample rows, QA checks","Buyer receives cleaned sample data, change notes, and a repeatable cleanup checklist.",https://jaxassistant55.github.io/jax-micro-offer-studio/data-cleanup-sprint.html,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,16,standalone-data-cleanup-sprint-starter,Data Cleanup Sprint Starter,service,$125,125.0,Data cleanup report,"Column map, anomaly flags, normalized sample rows, QA checks","Buyer receives cleaned sample data, change notes, and a repeatable cleanup checklist.",https://jaxassistant55.github.io/data-cleanup-sprint-starter/,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,17,central-pdf-table-extraction,PDF/Table Extraction,service,$125,125.0,Extracted table preview,"Source page, row labels, normalized CSV, ambiguity notes",Buyer receives CSV/XLSX output for accepted files plus extraction notes.,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,18,central-resume-linkedin-interview-pack,Resume / LinkedIn / Interview Pack,service,$125,125.0,Career packet outline,"Headline, proof bullets, interview story bank, follow-up copy",Buyer receives edited positioning drafts and a concise interview prep sheet.,https://jaxassistant55.github.io/jax-micro-offer-studio/resume-linkedin-interview-pack.html,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,https://github.com/jaxassistant55/career-packet-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
