generated_at_jst,step_id,step_title,actor,exact_action,proof_required,counts_as_money,public_url
2026-06-16 00:08:26 JST,01_open_terms,Open the service terms,buyer,"Open https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html and review the price, allowed inputs, excluded work, delivery boundary, and money-counting rule.",Buyer acceptance statement references this terms URL.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html
2026-06-16 00:08:26 JST,02_paste_exact_acceptance,Paste exact acceptance,buyer,"Buyer posts or sends this exact acceptance statement: I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Dated issue body, marketplace order note, invoice approval, or private buyer message containing the exact statement.",no,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml
2026-06-16 00:08:26 JST,03_confirm_allowed_inputs,Confirm safe input boundary,buyer,"Buyer confirms the input is public or buyer-authorized and matches this boundary: Business name, public website, Google Business Profile URL if available, target city/service area, and 1-3 priority services. Do not send account credentials.","Safe scope details in the issue or buyer message, with no credentials, tax identifiers, payment data, or private regulated files posted publicly.",no,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml
2026-06-16 00:08:26 JST,04_confirm_fixed_deliverable,Confirm fixed deliverable,buyer,"Buyer confirms the paid output is limited to: One local SEO / GBP audit covering profile completeness, category fit, review/citation gaps, landing-page fit, and a prioritized next-action checklist.","Accepted deliverable, deadline, delivery channel, and acceptance criterion.",no,https://jaxassistant55.github.io/jax-micro-offer-studio/hot-download-close-local-seo-gbp-audit-starter.html
2026-06-16 00:08:26 JST,05_send_seller_owned_payment_route,Use seller-owned payment route,seller,"After exact acceptance, use https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html with a checkout, invoice, marketplace order, funded milestone, or payment request controlled by the seller.",Seller-owned payment URL or external order reference plus accepted terms.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html
2026-06-16 00:08:26 JST,06_wait_for_payment_proof,Wait for payment proof,seller,"Do not start buyer-specific work until the external provider/platform shows payment posted, funded, released, payable, cleared, or otherwise saveable as proof.","Provider/platform, status, amount, date, buyer/order/reference id where available, and refund/hold status if visible.",yes_after_posted_released_payable_or_cleared,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html
2026-06-16 00:08:26 JST,07_deliver_fixed_scope_output,Deliver fixed-scope output,seller,Deliver only the accepted $175 fixed-scope output through the agreed controlled channel after payment proof exists.,"Delivery artifact, delivery message/status, and no public exposure of private buyer files.",no_without_payment_proof,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-16 00:08:26 JST,08_capture_acceptance,Capture buyer acceptance,buyer,"Buyer confirms the delivered output satisfies the accepted criterion, or the platform/order marks delivery accepted or complete.","Buyer acceptance text, platform delivery completion, or order completion status.",yes_only_with_payment_proof,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-16 00:08:26 JST,09_count_only_verified_money,Record only verified money,seller,"Keep money at $0 unless exact acceptance, payment proof, delivery proof, and posted/released/payable/cleared status exist.","Payment proof, delivery proof, acceptance/completion proof, amount, date, provider/platform, and refund/hold/fee status where available.",yes,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-16 00:08:26 JST,10_stop_on_false_positive,Stop on false positives,seller,"Count $0 if the only signal is a page view, release download, star, fork, issue draft, unpaid comment, IndexNow response, or public route update.","Proof monitor row may show interest, but there is no external payment proof.",no,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
