generated_at_jst,catalog_row_id,title,price,repo_url,structured_form_url,payment_activation_url,sample_gallery_url,sample_gallery_release_url,terms_url,exact_acceptance_statement,autonomous_response,route_specific_acceptance_gate,user_only_gate,money_rule
2026-06-18 11:06:09 JST,hot-download-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,$175,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.","Buyer must paste the exact Local SEO / GBP Audit acceptance statement, provide only public or buyer-authorized non-sensitive business details, and wait for seller-owned external payment proof before audit work starts.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,hot-download-pdf-table-extraction-starter,PDF Table Extraction Starter,$125,https://github.com/jaxassistant55/pdf-table-extraction-starter,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction-terms.html,"I accept the PDF/Table Extraction fixed-scope terms at $125. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-owned/buyer-authorized non-sensitive documents through an approved channel; the deliverable is limited to extracted CSV/XLSX output, ambiguity notes, and a repeatable extraction checklist for the accepted sample; and confidential regulated data handling, OCR of large batches, custom software implementation, credential/account access, ongoing support, or extra revisions are not included unless separately agreed before payment.","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.","Buyer must paste the exact PDF/Table Extraction acceptance statement, provide only public or buyer-owned/buyer-authorized non-sensitive document details through the accepted channel, and wait for seller-owned external payment proof before extraction work starts.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,central-first-100-fast-start,First $100 Fast Start,$100,https://github.com/jaxassistant55/jax-micro-offer-studio,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start-terms.html,"I accept the First $100 Fast Start fixed-scope terms at $100. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive inputs; the selected starter scope is limited to the deliverable described on the First $100 Fast Start page; and custom implementation, account login work, credential handling, regulated advice, paid ads, purchasing, ongoing support, or extra revisions are not included unless separately agreed before payment.","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.","Buyer must choose exactly one $100 starter scope, paste the exact Fast Start acceptance statement, provide only public or buyer-authorized non-sensitive inputs, and wait for seller-owned external payment proof before work starts.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,central-static-demo-site-customization,Static Demo Site Customization,$200,https://github.com/jaxassistant55/static-service-site-starter,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,"","","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.",Buyer must accept the listed fixed scope or product-transfer terms before any seller-owned external payment route is sent.,"Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,standalone-static-service-site-starter,Static Service Site Starter,$200,https://github.com/jaxassistant55/static-service-site-starter,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,"","","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.",Buyer must accept the listed fixed scope or product-transfer terms before any seller-owned external payment route is sent.,"Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,central-local-seo-gbp-audit,Local SEO / GBP Audit,$175,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.","Buyer must paste the exact Local SEO / GBP Audit acceptance statement, provide only public or buyer-authorized non-sensitive business details, and wait for seller-owned external payment proof before audit work starts.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,standalone-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,$175,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.","Buyer must paste the exact Local SEO / GBP Audit acceptance statement, provide only public or buyer-authorized non-sensitive business details, and wait for seller-owned external payment proof before audit work starts.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,central-ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,$150,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,"","","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.",Buyer must accept the listed fixed scope or product-transfer terms before any seller-owned external payment route is sent.,"Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,central-niche-quote-estimator,Niche Quote Estimator,$150,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,"","","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.",Buyer must accept the listed fixed scope or product-transfer terms before any seller-owned external payment route is sent.,"Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-18 11:06:09 JST,standalone-niche-quote-estimator-starter,Niche Quote Estimator Starter,$150,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-sample-output-gallery.html,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/one-sale-sample-output-gallery-v1,"","","If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, sample-output gallery, release packet, payment packet, labels, and payment activation only after accepted scope or transfer terms.",Buyer must accept the listed fixed scope or product-transfer terms before any seller-owned external payment route is sent.,"Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
