generated_at_jst,field,value,copy_where
2026-06-11 16:56:49 JST,product_title,First $100 Product Bundle,listing title
2026-06-11 16:56:49 JST,short_title,$100 Digital Operations Bundle,listing title
2026-06-11 16:56:49 JST,price_usd,100,seller reference
2026-06-11 16:56:49 JST,subtitle,Fifteen ready-to-transfer business-template and digital-product ZIPs in one private delivery bundle.,listing summary
2026-06-11 16:56:49 JST,short_description,"A one-sale $100 product transfer bundle with 15 ready local paid ZIPs, public manifest, private delivery checklist, and clear proof boundary.",listing summary
2026-06-11 16:56:49 JST,primary_buyer,"Solo operators, indie makers, consultants, and small teams that want reusable templates, digital assets, and lightweight operations tools without commissioning a custom build.",seller reference
2026-06-11 16:56:49 JST,included_files_summary,"HTML5 micro game kit, procedural SFX pack, SVG icon pack, printable planner pack, synthetic mock dataset pack, browser extension template, CSV CLI toolkit, CSS component pack, SVG wallpaper pattern pack, Anki flashcard deck, mini course workbook, JSON schema fixture pack, invoice/expense tracker, prompt workflow pack, and sales enablement kit.",listing body
2026-06-11 16:56:49 JST,delivery_note,Deliver first-100-product-bundle.zip privately only after external payment proof exists. Do not publish the paid ZIP on public pages.,seller reference
2026-06-11 16:56:49 JST,license_note,"Single buyer transfer for internal/business use. Buyer may adapt outputs for their own projects. No resale, redistribution, sublicensing, credential handling, regulated advice, or unsupported income/outcome guarantees.",listing body
2026-06-11 16:56:49 JST,refund_boundary,"Because this is a digital transfer, use the seller platform's refund policy and do not promise refunds beyond what the seller can honor. Count money only after payment is posted, released, payable, or cleared.",listing body
2026-06-11 16:56:49 JST,fulfillment_time,"Deliver after payment proof exists; target same-day private transfer when seller account, buyer email, and delivery channel are ready.",seller reference
2026-06-11 16:56:49 JST,support_boundary,"Includes transfer of the prepared ZIP and manifest. Does not include custom implementation, ongoing support, extra revisions, private-account login work, paid ads, scraping behind logins, or handling secrets/payment data.",listing body
2026-06-11 16:56:49 JST,tags,"digital bundle, business templates, CSV tools, operations templates, micro assets, small business, solo operator, productized service, first 100",tags/keywords
2026-06-11 16:56:49 JST,cover_image,https://jaxassistant55.github.io/jax-micro-offer-studio/assets/first-100-product-bundle-cover.png,listing image
2026-06-11 16:56:49 JST,public_manifest,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.html,seller reference
2026-06-11 16:56:49 JST,github_release,https://github.com/jaxassistant55/jax-micro-offer-studio/releases/tag/first-100-product-bundle-marketplace-v1,seller reference
2026-06-11 16:56:49 JST,order_board,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/25,seller reference
2026-06-11 16:56:49 JST,payment_activation,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,seller reference
2026-06-11 16:56:49 JST,proof_monitor,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,seller reference
2026-06-11 16:56:49 JST,money_rule,"Listing packet, cover image, public manifest, issue activity, page views, and downloads count $0. Count only a real buyer payment after accepted terms, private delivery, and posted/released/payable/cleared funds.",seller reference
