generated_at_jst,type,title,slug,price,source_dir,public_detail,preview_public,first_100,fulfillment_status,zip_name,zip_bytes,zip_sha256
2026-06-11 12:48:36 JST,product,HTML5 Micro Game Kit,html5-micro-game-kit,$19,non_bounty/autonomous_products/html5_micro_game,docs/html5-micro-game-kit.html,previews/html5-micro-game-kit.html,6 sales at $19 clears $100 gross.,local_paid_bundle_ready,html5-micro-game-kit.zip,4219,1e083fe8edec9c322e59c6e923e3c707ee644271dec9da68b24876e2d2c188d0
2026-06-11 12:48:36 JST,product,Procedural SFX Pack,procedural-sfx-pack,$12,non_bounty/autonomous_products/procedural_sfx_pack,docs/procedural-sfx-pack.html,previews/procedural-sfx-pack.html,9 sales at $12 clears $100 gross.,local_paid_bundle_ready,procedural-sfx-pack.zip,118779,25cd20aa0e91bda22428ff5b228ea092822c95dbb3ad763cbe9fa2b10b6ec721
2026-06-11 12:48:36 JST,product,SVG Icon Pack,svg-icon-pack,$15,non_bounty/autonomous_products/svg_icon_pack,docs/svg-icon-pack.html,previews/svg-icon-pack.html,7 sales at $15 clears $100 gross.,local_paid_bundle_ready,svg-icon-pack.zip,16586,71f39ee997257d2ac1457ede2154ed01dc8426079d5220b727ebf0c8256bf8da
2026-06-11 12:48:36 JST,product,Printable Puzzle and Planner Pack,printable-puzzle-and-planner-pack,$14,non_bounty/autonomous_products/printable_puzzle_planner_pack,docs/printable-puzzle-and-planner-pack.html,previews/printable-puzzle-and-planner-pack.html,8 sales at $14 clears $100 gross.,local_paid_bundle_ready,printable-puzzle-planner-pack.zip,4130,b3efda9f239e8a9a54a19f7106fd102a12a760a062ca795120674822214c6100
2026-06-11 12:48:36 JST,product,Synthetic Mock Dataset Pack,synthetic-mock-dataset-pack,$19,non_bounty/autonomous_products/synthetic_mock_dataset_pack,docs/synthetic-mock-dataset-pack.html,previews/synthetic-mock-dataset-pack.html,6 sales at $19 clears $100 gross.,local_paid_bundle_ready,synthetic-mock-dataset-pack.zip,5971,a978013901209e08a87bfce4f10e7bf1a928b7f14e0c26f141ef71bf9e35db1a
2026-06-11 12:48:36 JST,product,Browser Extension Template,browser-extension-template,$29,non_bounty/autonomous_products/browser_extension_template,docs/browser-extension-template.html,previews/browser-extension-template.html,4 sales at $29 clears $100 gross.,local_paid_bundle_ready,browser-extension-template.zip,3932,a566c5b796a89291aadb0f10207c40b812305224d37f50d240a147ffc93a391e
2026-06-11 12:48:36 JST,product,CSV CLI Toolkit,csv-cli-toolkit,$19,non_bounty/autonomous_products/csv_cli_toolkit,docs/csv-cli-toolkit.html,"",6 sales at $19 clears $100 gross.,local_paid_bundle_ready,csv-cli-toolkit.zip,2835,27af54e036dc6db90cef4a19fb0b8cc982200f9d28c6c59474540a01bfe408d7
2026-06-11 12:48:36 JST,product,CSS Component Pack,css-component-pack,$19,non_bounty/autonomous_products/css_component_pack,docs/css-component-pack.html,previews/css-component-pack.html,6 sales at $19 clears $100 gross.,local_paid_bundle_ready,css-component-pack.zip,3228,d6e57d2470a3bc64a4e9a9206daad0fb0a2ec99d8d0b8db424fd90a4f19f579d
2026-06-11 12:48:36 JST,product,SVG Wallpaper Pattern Pack,svg-wallpaper-pattern-pack,$9,non_bounty/autonomous_products/svg_wallpaper_pattern_pack,docs/svg-wallpaper-pattern-pack.html,previews/svg-wallpaper-pattern-pack.html,12 sales at $9 clears $100 gross.,local_paid_bundle_ready,svg-wallpaper-pattern-pack.zip,15622,c664c678fb0f10fb76a0bde61b4fb8219793eac1f83fc08cfd7581da66019886
2026-06-11 12:48:36 JST,product,Anki-Ready Flashcard Deck,anki-ready-flashcard-deck,$12,non_bounty/autonomous_products/anki_flashcard_deck,docs/anki-ready-flashcard-deck.html,"",9 sales at $12 clears $100 gross.,local_paid_bundle_ready,anki-flashcard-deck.zip,2709,09af3f5def1838349266e00e9fde1357f9b6669f78e4eef007f6554327baff53
2026-06-11 12:48:36 JST,product,Mini Course Workbook,mini-course-workbook,$29,non_bounty/autonomous_products/mini_course_workbook,docs/mini-course-workbook.html,previews/mini-course-workbook.html,4 sales at $29 clears $100 gross.,local_paid_bundle_ready,mini-course-workbook.zip,3662,0d3404f904c58dd237732f440073be326afb3779482f3b5ae2cc017bec4fda1a
2026-06-11 12:48:36 JST,product,JSON Schema Fixture Pack,json-schema-fixture-pack,$15,non_bounty/autonomous_products/json_schema_fixture_pack,docs/json-schema-fixture-pack.html,"",7 sales at $15 clears $100 gross.,local_paid_bundle_ready,json-schema-fixture-pack.zip,3482,27323022e4f99f611ccdffc350830450a578cdca1c9b2c84b8fa2db698b506d8
2026-06-11 12:48:36 JST,product,Invoice and Expense Tracker Template,invoice-and-expense-tracker-template,$19,non_bounty/invoice_expense_tracker,docs/invoice-and-expense-tracker-template.html,previews/invoice-and-expense-tracker-template.html,6 sales at $19 clears $100 gross.,local_paid_bundle_ready,invoice-expense-tracker-kit.zip,4084,49e4bbdb0e4ce190e81e9db5ff75a9223b1376dd2707db6568418de4587aa087
2026-06-11 12:48:36 JST,product,Prompt Workflow Pack,prompt-workflow-pack,$19,non_bounty/prompt_workflow_pack,docs/prompt-workflow-pack.html,previews/prompt-workflow-pack.html,"6 sales at $19 clears $100 gross, or one $100 customized setup reaches $100.",local_paid_bundle_ready,prompt-workflow-pack-kit.zip,3612,59ca9ef2a449c8726fbde504de95f67765c613b25e209844739090f30662ceeb
2026-06-11 12:48:36 JST,product,Sales Enablement Kit,sales-enablement-kit,$29,non_bounty/sales_enablement,docs/sales-enablement-kit.html,previews/sales-enablement-kit.html,"4 sales at $29 clears $100 gross, or one $100 customized proposal/profile setup reaches $100.",local_paid_bundle_ready,sales-enablement-kit.zip,3639,9541482cb0263e5409363fd32532ae413011fd1dc6383ef81e7c61432ef50042
2026-06-11 12:48:36 JST,service,Website Audit Microservice,website-audit-microservice,$150,non_bounty/website_audit_service,docs/website-audit-microservice.html,previews/website-audit-microservice.html,One accepted audit clears $100.,local_paid_bundle_ready,website-audit-service-kit.zip,4947,a4b2e87b4f8b554ffbb4d5b6201218d57fcdc13565efc259ddf5e8306d1dfce5
2026-06-11 12:48:36 JST,service,Data Cleanup Sprint,data-cleanup-sprint,$125,non_bounty/data_cleanup_service,docs/data-cleanup-sprint.html,previews/data-cleanup-sprint.html,One completed sprint clears $100.,local_paid_bundle_ready,data-cleanup-service-kit.zip,4901,20ee5f7cf1fac018a906d744c515712ca68399d7f9a27fe340085f7cb0dccb91
2026-06-11 12:48:36 JST,service,AI Workflow Tracker Sprint,ai-workflow-tracker-sprint,$150,non_bounty/freelance_microservice,docs/ai-workflow-tracker-sprint.html,previews/ai-workflow-tracker-sprint.html,One fixed-price order clears $100.,source_folder_ready,"","",""
2026-06-11 12:48:36 JST,service,Static Demo Site Customization,static-demo-site-customization,$200,non_bounty/static_demo_site,docs/static-demo-site-customization.html,previews/static-demo-site-customization.html,One starter site clears $100.,local_paid_bundle_ready,static-demo-site-kit.zip,4602,fa14e0ac2d423ecbc0e609697b53c71d25fedac41506e953ee8d094c40fb0aff
2026-06-11 12:48:36 JST,service,Niche Quote Estimator,niche-quote-estimator,$150,non_bounty/niche_calculator,docs/niche-quote-estimator.html,previews/niche-quote-estimator.html,One custom estimator clears $100.,local_paid_bundle_ready,niche-calculator-kit.zip,3729,a58329e64e3de10b0f257dfc65babd2ffe0b1919177de6e7598431a0a69f432e
2026-06-11 12:48:36 JST,service,Automation Blueprint,automation-blueprint,$100,non_bounty/automation_blueprint,docs/automation-blueprint.html,previews/automation-blueprint.html,One blueprint reaches $100.,local_paid_bundle_ready,automation-blueprint-kit.zip,4670,cf5c8849942e3c10b753f7136e9bd5311d884e7d0537c7a09f4cff381fe04004
2026-06-11 12:48:36 JST,service,Local SEO / GBP Audit,local-seo-gbp-audit,$175,non_bounty/local_seo_gbp,docs/local-seo-gbp-audit.html,previews/local-seo-gbp-audit.html,One audit clears $100.,local_paid_bundle_ready,local-seo-gbp-kit.zip,5497,8113fd3fd5725c0892a2942f67d5e5626ad716de29832e1f3cee3c83d962e484
2026-06-11 12:48:36 JST,service,Technical Docs Cleanup,technical-docs-cleanup,$150,non_bounty/technical_docs_cleanup,docs/technical-docs-cleanup.html,"",One docs sprint clears $100.,local_paid_bundle_ready,technical-docs-cleanup-kit.zip,3392,dd1148df02dd3c4c69a4cfec931fc7a883ca3102b34152d4ed325ce75ce7f3be
2026-06-11 12:48:36 JST,service,Client Intake and SOP Package,client-intake-and-sop-package,$125,non_bounty/client_intake_sop,docs/client-intake-and-sop-package.html,previews/client-intake-and-sop-package.html,One package clears $100.,local_paid_bundle_ready,client-intake-sop-kit.zip,3569,1f132d95799ded76b5b85bbb7efe08f1f85b19707cae0e9afd0d3a43795ddaae
