generated_at_jst,slug,title,price,ready_or_offer_url,buyer_inquiry_url,order_board_url,deliverables,artifact_manifest,acceptance_criteria,delivery_message,revision_boundary,proof_required,proof_folder_suggestion,money_counting_rule
2026-06-11 12:48:36 JST,static-demo-site-customization,Static Demo Site Customization,$200,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-static-demo-site-customization.html,https://jaxassistant55.github.io/static-service-site-starter/inquiry.html,https://github.com/jaxassistant55/static-service-site-starter/issues/1,"Customized static site folder, preview link or ZIP, content checklist, and launch notes.","1. Customized static site folder
2. preview link or ZIP
3. content checklist
4. and launch notes.","Static site preview loads, accepted business copy is present, call to action is visible, and files are ready to hand off as a ZIP or repository.","Delivery ready for Static Demo Site Customization.

Included artifacts:
1. Customized static site folder
2. preview link or ZIP
3. content checklist
4. and launch notes.

Acceptance criteria:
Static site preview loads, accepted business copy is present, call to action is visible, and files are ready to hand off as a ZIP or repository.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $200, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/static-demo-site-customization,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,local-seo-gbp-audit,Local SEO / GBP Audit,$175,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-local-seo-gbp-audit.html,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/inquiry.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,"Audit report, citation cleanup tracker, profile-copy suggestions, and review-response templates.","1. Audit report
2. citation cleanup tracker
3. profile-copy suggestions
4. and review-response templates.","Audit uses public profile/website evidence, citation tracker is filled, and recommendations avoid private account actions unless buyer handles them.","Delivery ready for Local SEO / GBP Audit.

Included artifacts:
1. Audit report
2. citation cleanup tracker
3. profile-copy suggestions
4. and review-response templates.

Acceptance criteria:
Audit uses public profile/website evidence, citation tracker is filled, and recommendations avoid private account actions unless buyer handles them.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $175, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/local-seo-gbp-audit,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,$150,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-ai-workflow-tracker-sprint.html,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/inquiry.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,"CSV tracker, static dashboard, status definitions, and quickstart.","1. CSV tracker
2. static dashboard
3. status definitions
4. and quickstart.","Tracker fields match the accepted workflow, dashboard loads locally, sample rows are sanitized, and statuses are documented.","Delivery ready for AI Workflow Tracker Sprint.

Included artifacts:
1. CSV tracker
2. static dashboard
3. status definitions
4. and quickstart.

Acceptance criteria:
Tracker fields match the accepted workflow, dashboard loads locally, sample rows are sanitized, and statuses are documented.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/ai-workflow-tracker-sprint,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,niche-quote-estimator,Niche Quote Estimator,$150,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-niche-quote-estimator.html,https://jaxassistant55.github.io/niche-quote-estimator-starter/inquiry.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,"Browser estimator HTML, pricing assumptions CSV, test cases, and buyer handoff note.","1. Browser estimator HTML
2. pricing assumptions CSV
3. test cases
4. and buyer handoff note.","Estimator loads locally, agreed pricing factors work, test cases match expected outputs, and assumptions are documented.","Delivery ready for Niche Quote Estimator.

Included artifacts:
1. Browser estimator HTML
2. pricing assumptions CSV
3. test cases
4. and buyer handoff note.

Acceptance criteria:
Estimator loads locally, agreed pricing factors work, test cases match expected outputs, and assumptions are documented.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/niche-quote-estimator,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,technical-docs-cleanup,Technical Docs Cleanup,$150,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-technical-docs-cleanup.html,https://jaxassistant55.github.io/technical-docs-cleanup-starter/inquiry.html,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,"Rewrite sample, docs audit rubric, checklist, and handoff report.","1. Rewrite sample
2. docs audit rubric
3. checklist
4. and handoff report.","Rewrite sample improves the accepted docs, rubric/checklist are included, and the handoff explains what changed.","Delivery ready for Technical Docs Cleanup.

Included artifacts:
1. Rewrite sample
2. docs audit rubric
3. checklist
4. and handoff report.

Acceptance criteria:
Rewrite sample improves the accepted docs, rubric/checklist are included, and the handoff explains what changed.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/technical-docs-cleanup,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,website-audit-microservice,Website Audit Microservice,$150,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-website-audit-microservice.html,https://jaxassistant55.github.io/website-audit-microservice-starter/inquiry.html,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,"One HTML/PDF audit, prioritized fixes, screenshots or cited sections, and a concise next-action list.","1. One HTML/PDF audit
2. prioritized fixes
3. screenshots or cited sections
4. and a concise next-action list.","Audit covers the agreed public URL, includes prioritized findings, cites visible evidence, and gives next actions without claiming private account access.","Delivery ready for Website Audit Microservice.

Included artifacts:
1. One HTML/PDF audit
2. prioritized fixes
3. screenshots or cited sections
4. and a concise next-action list.

Acceptance criteria:
Audit covers the agreed public URL, includes prioritized findings, cites visible evidence, and gives next actions without claiming private account access.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/website-audit-microservice,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,client-intake-and-sop-package,Client Intake and SOP Package,$125,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-client-intake-and-sop-package.html,https://jaxassistant55.github.io/client-intake-sop-starter/inquiry.html,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,"Intake question bank, SOP draft, delivery checklist, and owner handoff notes.","1. Intake question bank
2. SOP draft
3. delivery checklist
4. and owner handoff notes.","Intake questions, SOP draft, delivery checklist, and ownership handoff match the accepted process.","Delivery ready for Client Intake and SOP Package.

Included artifacts:
1. Intake question bank
2. SOP draft
3. delivery checklist
4. and owner handoff notes.

Acceptance criteria:
Intake questions, SOP draft, delivery checklist, and ownership handoff match the accepted process.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/client-intake-and-sop-package,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,data-cleanup-sprint,Data Cleanup Sprint,$125,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-data-cleanup-sprint.html,https://jaxassistant55.github.io/data-cleanup-sprint-starter/inquiry.html,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,"Cleaned CSV/XLSX, validation counts, before/after sample, and QA note.","1. Cleaned CSV/XLSX
2. validation counts
3. before/after sample
4. and QA note.","Cleaned file opens, requested columns are present, validation counts are included, and the buyer can compare before/after samples.","Delivery ready for Data Cleanup Sprint.

Included artifacts:
1. Cleaned CSV/XLSX
2. validation counts
3. before/after sample
4. and QA note.

Acceptance criteria:
Cleaned file opens, requested columns are present, validation counts are included, and the buyer can compare before/after samples.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/data-cleanup-sprint,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,pdf-table-extraction,PDF/Table Extraction,$125,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-pdf-table-extraction.html,https://jaxassistant55.github.io/pdf-table-extraction-starter/inquiry.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,"Extracted CSV, QA report, file intake map, and delivery checklist.","1. Extracted CSV
2. QA report
3. file intake map
4. and delivery checklist.","Extracted CSV matches the accepted pages/tables, QA report flags ambiguities, and redaction rules are followed.","Delivery ready for PDF/Table Extraction.

Included artifacts:
1. Extracted CSV
2. QA report
3. file intake map
4. and delivery checklist.

Acceptance criteria:
Extracted CSV matches the accepted pages/tables, QA report flags ambiguities, and redaction rules are followed.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/pdf-table-extraction,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
2026-06-11 12:48:36 JST,resume-linkedin-interview-pack,Resume / LinkedIn / Interview Pack,$125,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-resume-linkedin-interview-pack.html,https://jaxassistant55.github.io/career-packet-starter/inquiry.html,https://github.com/jaxassistant55/career-packet-starter/issues/1,"Truthful rewrite sample, keyword map, cover letter template, and interview prep worksheet.","1. Truthful rewrite sample
2. keyword map
3. cover letter template
4. and interview prep worksheet.","All copy remains truthful to buyer-provided facts, role keywords are mapped, and interview prep is tied to accepted targets.","Delivery ready for Resume / LinkedIn / Interview Pack.

Included artifacts:
1. Truthful rewrite sample
2. keyword map
3. cover letter template
4. and interview prep worksheet.

Acceptance criteria:
All copy remains truthful to buyer-provided facts, role keywords are mapped, and interview prep is tied to accepted targets.

Proof requested:
Please confirm receipt and either approve the delivery or list the specific fixed-scope correction needed. Payment should already be funded/postable through the agreed external route before this delivery is sent.

Privacy boundary:
Do not send passwords, payment details, tax identifiers, regulated private data, or files you are not authorized to share in public channels.","One fixed-scope correction pass is reasonable only if it matches the accepted scope. New pages, new private data, extra integrations, regulated advice, ongoing support, publishing under the buyer's identity, or work after refund/payment failure is out of scope.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.",proof/2026-06-11/resume-linkedin-interview-pack,Count $0 until payment is externally posted/released/payable and delivery/acceptance proof is saved.
