generated_at_jst,rank,catalog_row_id,title,offer_type,price,amount_usd,primary_url,buyer_action_url,buyer_action_label,order_board_url,payment_packet_url,terms_url,payment_activation_url,proof_monitor_url,signal_room_issue_url,buyer_gate,exact_acceptance_statement,proof_rule,first_100_path,money_confirmed_usd
2026-06-16 15:23:03 JST,1,central-first-100-product-bundle,First $100 Product Bundle,product,$100,100.0,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-product-bundle.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/25,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#central-first-100-product-bundle,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","I accept the First $100 Product Bundle Terms at $100. I understand the private ZIP is delivered only after seller-owned external payment proof exists; the bundle is for my internal or client-project use only; I will not resell, redistribute, sublicense, or post the paid files publicly; and custom implementation or support is not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",One accepted paid order can reach the first $100.,0
2026-06-16 15:23:03 JST,2,central-static-demo-site-customization,Static Demo Site Customization,service,$200,200.0,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#central-static-demo-site-customization,"",https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",One accepted paid order can reach the first $100.,0
2026-06-16 15:23:03 JST,3,standalone-static-service-site-starter,Static Service Site Starter,service,$200,200.0,https://jaxassistant55.github.io/static-service-site-starter/,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#standalone-static-service-site-starter,"",https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",Use the structured form as intake only; move payment to a seller-owned route before any custom delivery.,0
2026-06-16 15:23:03 JST,4,central-local-seo-gbp-audit,Local SEO / GBP Audit,service,$175,175.0,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#central-local-seo-gbp-audit,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",One accepted paid order can reach the first $100.,0
2026-06-16 15:23:03 JST,5,standalone-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,service,$175,175.0,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open repo-specific structured form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#standalone-local-seo-gbp-audit-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",Use the structured form as intake only; move payment to a seller-owned route before any custom delivery.,0
2026-06-16 15:23:03 JST,6,hot-download-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,service,$175,175.0,https://jaxassistant55.github.io/jax-micro-offer-studio/hot-download-close-local-seo-gbp-audit-starter.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open hot-route structured form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#hot-download-local-seo-gbp-audit-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Buyer confirms the business URL/profile, target market, fixed scope, delivery format, and a $175 payment route before custom analysis starts.","I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.","Treat the download as interest only. If a real buyer appears, use this hot-route structured form, collect external payment proof, then deliver.",0
2026-06-16 15:23:03 JST,7,central-ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#central-ai-workflow-tracker-sprint,"",https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",One accepted paid order can reach the first $100.,0
2026-06-16 15:23:03 JST,8,central-niche-quote-estimator,Niche Quote Estimator,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#central-niche-quote-estimator,"",https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",One accepted paid order can reach the first $100.,0
2026-06-16 15:23:03 JST,9,standalone-niche-quote-estimator-starter,Niche Quote Estimator Starter,service,$150,150.0,https://jaxassistant55.github.io/niche-quote-estimator-starter/,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#standalone-niche-quote-estimator-starter,"",https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",Use the structured form as intake only; move payment to a seller-owned route before any custom delivery.,0
2026-06-16 15:23:03 JST,10,central-technical-docs-cleanup,Technical Docs Cleanup,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-cleanup.html,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/one-sale-payment-packets.html#central-technical-docs-cleanup,"",https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",One accepted paid order can reach the first $100.,0
