type,title,price,first_100_path,detail_url
product,HTML5 Micro Game Kit,$19,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/html5-micro-game-kit.html
product,Procedural SFX Pack,$12,9 sales at $12 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/procedural-sfx-pack.html
product,SVG Icon Pack,$15,7 sales at $15 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/svg-icon-pack.html
product,Printable Puzzle and Planner Pack,$14,8 sales at $14 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/printable-puzzle-and-planner-pack.html
product,Synthetic Mock Dataset Pack,$19,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/synthetic-mock-dataset-pack.html
product,Browser Extension Template,$29,4 sales at $29 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/browser-extension-template.html
product,CSV CLI Toolkit,$19,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/csv-cli-toolkit.html
product,CSS Component Pack,$19,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/css-component-pack.html
product,SVG Wallpaper Pattern Pack,$9,12 sales at $9 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/svg-wallpaper-pattern-pack.html
product,Anki-Ready Flashcard Deck,$12,9 sales at $12 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/anki-ready-flashcard-deck.html
