primitive_id,page,type,point_count,x1_pt,y1_pt,x2_pt,y2_pt,length_pt,length_mm,stroke_width_pt,classification
1,1,line,2,48.0,621.8898,270.0,621.8898,222.0,2220.0,1.1,wall_candidate
2,1,line,2,310.0,621.8898,548.0,621.8898,238.0,2380.0,1.1,wall_candidate
3,1,line,2,48.0,221.8898,548.0,221.8898,500.0,5000.0,1.1,wall_candidate
4,1,line,2,48.0,621.8898,48.0,221.8898,400.0,4000.0,1.1,wall_candidate
5,1,line,2,548.0,621.8898,548.0,221.8898,400.0,4000.0,1.1,wall_candidate
6,1,line,2,310.0,621.8898,310.0,451.8898,170.0,1700.0,1.1,wall_candidate
7,1,line,2,310.0,401.8898,310.0,221.8898,180.0,1800.0,1.1,wall_candidate
8,1,line,2,180.0,225.8898,250.0,225.8898,70.0,700.0,0.6,detail_candidate
9,1,line,2,180.0,217.8898,250.0,217.8898,70.0,700.0,0.6,detail_candidate
10,1,cubic_bezier,17,270.0,621.8898,310.0,581.8898,64.1195,641.19,0.6,detail_candidate
11,1,line,2,48.0,681.8898,548.0,681.8898,500.0,5000.0,0.8,wall_candidate
12,1,line,2,48.0,686.8898,48.0,676.8898,10.0,100.0,0.8,detail_candidate
13,1,line,2,548.0,686.8898,548.0,676.8898,10.0,100.0,0.8,detail_candidate
