generated_at_jst,step_id,step_title,actor,exact_action,proof_required,counts_as_money,public_url
2026-06-14 10:04:03 JST,01_verify_public_route,Open the public bundle route,seller,"Open https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.html, https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle-terms.html, https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle-marketplace.html, https://github.com/jaxassistant55/jax-micro-offer-studio/issues/25, https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html, and https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html; confirm the buyer is on the $100 First $100 Product Bundle path before discussing payment.",Buyer source URL or message plus selected product-bundle route.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle-terms.html
2026-06-14 10:04:03 JST,02_show_private_bundle_seal,Show the artifact seal without exposing the ZIP,seller,"Point the buyer to the public manifest: artifact first-100-product-bundle.zip, bytes 202556, SHA-256 018467b9e151893257669b807b00982ae28bb19e6bfe7075ed10d43df6833f6f, component count 15, and list value 278.0. Do not attach the paid ZIP publicly.",Public manifest links https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.csv and https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.json.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.json
2026-06-14 10:04:03 JST,03_confirm_transfer_terms,Collect exact acceptance statement,buyer,"Buyer posts or sends the exact acceptance statement: I accept the First $100 Product Bundle Terms at $100. I understand the private ZIP is delivered only after seller-owned external payment proof exists; the bundle is for my internal or client-project use only; I will not resell, redistribute, sublicense, or post the paid files publicly; and custom implementation or support is not included unless separately agreed before payment.",Saved buyer acceptance text with date/channel.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle-terms.html
2026-06-14 10:04:03 JST,04_keep_public_issue_safe,Keep public intake safe,seller,"Use GitHub only for public-safe scope facts. Move delivery address, payment proof, private files, passwords, tax identifiers, private identifiers, and delivery links out of public issues.","Public issue or form contains no secrets, private payment screenshots, tax data, confidential files, or private delivery URLs.",no,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/25
2026-06-14 10:04:03 JST,05_send_seller_owned_payment_route,Send only a seller-owned payment route,seller,"Use Payment Activation only after acceptance, and send a checkout, invoice, marketplace order, funded milestone, or payment request URL controlled by the seller.",Seller-owned payment URL or order reference plus accepted terms.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html
2026-06-14 10:04:03 JST,06_wait_for_external_payment_proof,Wait for payment proof before transfer,seller,"Do not send first-100-product-bundle.zip until an external provider/platform shows payment posted, funded, released, payable, cleared, or otherwise saveable as proof.","Provider/platform, date, status, gross amount, fees/refunds if known, net amount, buyer/order/reference id where available.",yes_after_posted_released_payable_or_cleared,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html
2026-06-14 10:04:03 JST,07_deliver_private_zip,Deliver privately after proof,seller,Transfer first-100-product-bundle.zip through the accepted private delivery channel only after payment proof exists. Include the SHA-256 so the buyer can verify the file.,Private delivery record plus bundle SHA-256 018467b9e151893257669b807b00982ae28bb19e6bfe7075ed10d43df6833f6f.,no_without_payment_proof,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle-terms.html
2026-06-14 10:04:03 JST,08_capture_acceptance,Capture buyer acceptance or platform delivery status,buyer,"Buyer confirms receipt, acceptance, or platform delivery completion. If platform acceptance is automatic, save the platform delivery status.","Buyer acceptance text, platform delivery status, or order completion status.",yes_only_with_payment_proof,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-14 10:04:03 JST,09_count_money_only_after_proof,Record only verified money,seller,Record money only after the external payment proof and private delivery proof exist. Use verified net amount if fees/refunds are known; otherwise record gross and mark fees unresolved.,"Payment proof, delivery proof, acceptance/delivery status, amount, date, provider/platform, reference id where available.",yes,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-14 10:04:03 JST,10_stop_on_false_positive,Stop on non-buyer or bounty-style signals,seller,"Keep money at $0 if the only signal is a page view, release download, star, fork, issue draft, PR, bounty/wallet/AI-fix claim, unpaid comment, IndexNow response, or public route update.","Proof monitor row may show interest or non-buyer state, but no external payment proof.",no,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
