generated_at_jst,step_id,step_title,actor,exact_action,proof_required,counts_as_money,public_url
2026-06-15 23:28:43 JST,01_choose_fixed_scope,Choose one exact $100 starter,buyer,"Open https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start.html and choose exactly one starter scope: Automation Blueprint Mini, PDF/Table Extraction Mini, Local SEO Snapshot Mini, Website Quick-Win Audit Mini.",Selected starter scope in the structured ready-to-pay form or issue #24.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start.html
2026-06-15 23:28:43 JST,02_review_terms,Review terms before payment,buyer,"Open https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start-terms.html and read the fixed-scope, input-safety, payment, delivery, and money-counting rules.",Buyer uses the exact acceptance statement from this page.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start-terms.html
2026-06-15 23:28:43 JST,03_paste_exact_acceptance,Paste exact acceptance statement,buyer,"Buyer posts or sends this exact acceptance statement: I accept the First $100 Fast Start fixed-scope terms at $100. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive inputs; the selected starter scope is limited to the deliverable described on the First $100 Fast Start page; and custom implementation, account login work, credential handling, regulated advice, paid ads, purchasing, ongoing support, or extra revisions are not included unless separately agreed before payment.","Saved issue form body, buyer message, platform order note, or other dated acceptance record.",no,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml
2026-06-15 23:28:43 JST,04_keep_input_public_safe,Keep public issue input safe,buyer,"Provide only public URLs or non-sensitive buyer-authorized summaries in GitHub. Do not post passwords, credentials, payment cards, tax identifiers, private financial/medical/legal data, confidential files, payment screenshots, or private delivery links.",Issue body contains only public-safe scope facts and no secrets.,no,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml
2026-06-15 23:28:43 JST,05_confirm_acceptance_gate,Confirm acceptance criterion,buyer,"Write the concrete acceptance criterion: e.g. delivered CSV opens cleanly, audit covers listed public URL, blueprint includes current flow/risks/next actions, or snapshot covers the public business/profile.",Acceptance criterion in issue form or external order record.,no,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml
2026-06-15 23:28:43 JST,06_send_seller_owned_payment_route,Use only a seller-owned external payment route,seller,"After terms and scope are accepted, use https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html to generate the buyer payment message from a seller-owned checkout, invoice, marketplace order, funded milestone, or payment request URL.",Seller-owned payment URL or external order reference plus accepted terms.,no,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html
2026-06-15 23:28:43 JST,07_wait_for_payment_proof,Wait for payment proof before work,seller,"Do not start buyer-specific work until the external provider/platform shows payment posted, funded, released, payable, cleared, or otherwise saveable as proof.","Provider/platform, status, amount, date, buyer/order/reference id where available, and refund/hold status if visible.",yes_after_posted_released_payable_or_cleared,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation.html
2026-06-15 23:28:43 JST,08_deliver_fixed_scope_output,Deliver only the selected fixed-scope output,seller,Deliver the selected $100 starter output privately or through the accepted platform channel after payment proof exists. Do not expand into unsupported implementation or account-login work without a separate agreement before payment.,Delivery record and delivered file/link summary without secrets.,no_without_payment_proof,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-15 23:28:43 JST,09_capture_acceptance,Capture acceptance or completion status,buyer,"Buyer confirms the fixed-scope output meets the acceptance criterion, or the platform/order marks delivery accepted or complete.","Buyer acceptance text, order completion, or delivery acceptance record.",yes_only_with_payment_proof,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
2026-06-15 23:28:43 JST,10_count_only_verified_money,Record only verified money,seller,"Keep money at $0 unless buyer acceptance, payment proof, delivery proof, and posted/released/payable/cleared payment status exist. Page views, sample downloads, issue comments, stars, forks, IndexNow responses, and unpaid draft requests count $0.","Payment proof, delivery proof, acceptance/completion proof, amount, date, provider/platform, and refund/hold/fee status where available.",yes,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html
