type,title,slug,price,amount,first_100,detail_url,ready_to_pay_url,template_url
product,HTML5 Micro Game Kit,html5-micro-game-kit,$19,19.0,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/html5-micro-game-kit.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+HTML5+Micro+Game+Kit&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+HTML5+Micro+Game+Kit%0AListed+price%3A+%2419%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fhtml5-micro-game-kit.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+HTML5+Micro+Game+Kit
product,Procedural SFX Pack,procedural-sfx-pack,$12,12.0,9 sales at $12 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/procedural-sfx-pack.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+Procedural+SFX+Pack&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+Procedural+SFX+Pack%0AListed+price%3A+%2412%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fprocedural-sfx-pack.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+Procedural+SFX+Pack
product,SVG Icon Pack,svg-icon-pack,$15,15.0,7 sales at $15 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/svg-icon-pack.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+SVG+Icon+Pack&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+SVG+Icon+Pack%0AListed+price%3A+%2415%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fsvg-icon-pack.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+SVG+Icon+Pack
product,Printable Puzzle and Planner Pack,printable-puzzle-and-planner-pack,$14,14.0,8 sales at $14 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/printable-puzzle-and-planner-pack.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+Printable+Puzzle+and+Planner+Pack&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+Printable+Puzzle+and+Planner+Pack%0AListed+price%3A+%2414%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fprintable-puzzle-and-planner-pack.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+Printable+Puzzle+and+Planner+Pack
product,Synthetic Mock Dataset Pack,synthetic-mock-dataset-pack,$19,19.0,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/synthetic-mock-dataset-pack.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+Synthetic+Mock+Dataset+Pack&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+Synthetic+Mock+Dataset+Pack%0AListed+price%3A+%2419%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fsynthetic-mock-dataset-pack.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+Synthetic+Mock+Dataset+Pack
product,Browser Extension Template,browser-extension-template,$29,29.0,4 sales at $29 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/browser-extension-template.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+Browser+Extension+Template&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+Browser+Extension+Template%0AListed+price%3A+%2429%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fbrowser-extension-template.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+Browser+Extension+Template
product,CSV CLI Toolkit,csv-cli-toolkit,$19,19.0,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/csv-cli-toolkit.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+CSV+CLI+Toolkit&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+CSV+CLI+Toolkit%0AListed+price%3A+%2419%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fcsv-cli-toolkit.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+CSV+CLI+Toolkit
product,CSS Component Pack,css-component-pack,$19,19.0,6 sales at $19 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/css-component-pack.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+CSS+Component+Pack&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+CSS+Component+Pack%0AListed+price%3A+%2419%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fcss-component-pack.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+CSS+Component+Pack
product,SVG Wallpaper Pattern Pack,svg-wallpaper-pattern-pack,$9,9.0,12 sales at $9 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/svg-wallpaper-pattern-pack.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+SVG+Wallpaper+Pattern+Pack&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+SVG+Wallpaper+Pattern+Pack%0AListed+price%3A+%249%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fsvg-wallpaper-pattern-pack.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+SVG+Wallpaper+Pattern+Pack
product,Anki-Ready Flashcard Deck,anki-ready-flashcard-deck,$12,12.0,9 sales at $12 clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/anki-ready-flashcard-deck.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=ready-to-pay.md&title=Ready+to+pay%3A+Anki-Ready+Flashcard+Deck&labels=paid-inquiry%2Cready-to-pay&body=%23%23+Ready-to-pay+intake%0A%0AOffer%3A+Anki-Ready+Flashcard+Deck%0AListed+price%3A+%2412%0AOffer+page%3A+https%3A%2F%2Fjaxassistant55.github.io%2Fjax-micro-offer-studio%2Fanki-ready-flashcard-deck.html%0AOffer+type%3A+product%0A%0ARequested+quantity+or+scope%3A%0APayment%2Fproof+route%3A%0ADeadline%3A%0AAcceptance+proof%3A%0ADelivery+preference%3A%0A%0ASafety+confirmation%3A%0A-+I+will+not+post+passwords%2C+payment+cards%2C+tax+identifiers%2C+medical%2Flegal%2Ffinancial+private+details%2C+or+files+I+am+not+authorized+to+share.%0A-+I+understand+this+issue+is+not+payment+by+itself%3B+money+counts+only+after+external+payment+or+payout+proof+exists.%0A,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=product-transfer.yml&title=Product+transfer%3A+Anki-Ready+Flashcard+Deck
